lga_name,postcode,suburb,crime_id,crime_name,average_incident
Bayside,3190,highett,F20,Transport regulation offences,1.0
Bayside,3190,highett,F30,Other government regulatory offences,1.0
Bayside,3190,highett,F90,Miscellaneous offences,18.5
Bayside,3190,highett,Other,crimes against the person,4.9
Bayside,3191,sandringham,A20,Assault and related offences,22.5
Bayside,3191,sandringham,A50,Robbery,2.1111111111111107
Bayside,3191,sandringham,A70,"Stalking, harassment and threatening behaviour",5.7
Bayside,3191,sandringham,A80,Dangerous and negligent acts endangering people,1.8333333333333333
Bayside,3191,sandringham,B10,Arson,1.5
Bayside,3191,sandringham,B50,Deception,17.9
Bayside,3191,sandringham,C10,Drug dealing and trafficking,1.75
Bayside,3191,sandringham,C20,Cultivate or manufacture drugs,1.3333333333333333
Bayside,3191,sandringham,C30,Drug use and possession,12.7
Bayside,3191,sandringham,D10,Weapons and explosives offences,6.7
Bayside,3191,sandringham,D20,Disorderly and offensive conduct,18.7
Bayside,3191,sandringham,D30,Public nuisance offences,3.75
Bayside,3191,sandringham,D40,Public security offences,1.0
Bayside,3191,sandringham,E10,Justice procedures,4.8
Bayside,3191,sandringham,E20,Breaches of orders,30.0
Bayside,3191,sandringham,F20,Transport regulation offences,1.25
Bayside,3191,sandringham,F90,Miscellaneous offences,8.75
Bayside,3191,sandringham,Other,crimes against the person,8.1
Bayside,3192,cheltenham,A20,Assault and related offences,7.3
Bayside,3192,cheltenham,A50,Robbery,1.7142857142857142
