suburb,postcode,state,dc,type,lat,lon,No liquor_store,No police,No park
hoppers crossing,3029,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.882636,144.700297,5.0,0.0,9.0
hughesdale,3166,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.895763,145.07654499999995,1.0,0.0,9.0
huntingdale,3166,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.909347,145.103841,1.0,0.0,5.0
hurstbridge,3099,VIC,DIAMOND CREEK DC,Delivery Area,-37.640166,145.192477,4.0,1.0,10.0
ivanhoe,3079,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.76964,145.041425,5.0,0.0,12.0
ivanhoe east,3079,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.77283,145.059401,1.0,0.0,9.0
jacana,3047,VIC,SOMERTON DC,Delivery Area,-37.690301,144.915729,1.0,1.0,14.0
junction village,3977,VIC,CRANBOURNE DC,Delivery Area,-38.138435,145.29407700000004,0.0,0.0,3.0
kallista,3791,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.900585,145.410171,0.0,0.0,1.0
kalorama,3766,VIC,MOOROOLBARK DC,Delivery Area,-37.816839,145.367371,0.0,0.0,3.0
kealba,3021,VIC,ST ALBANS DC,Delivery Area,-37.742331,144.825918,4.0,0.0,10.0
keilor,3036,VIC,NIDDRIE DC,Delivery Area,-37.718965,144.83416599999995,0.0,0.0,10.0
keilor downs,3038,VIC,ST ALBANS DC,Delivery Area,-37.725726,144.811346,2.0,2.0,19.0
keilor east,3033,VIC,NIDDRIE DC,Delivery Area,-37.736264,144.796336,1.0,0.0,9.0
keilor lodge,3038,VIC,ST ALBANS DC,Delivery Area,-37.695768,144.797032,4.0,0.0,18.0
keilor park,3042,VIC,NIDDRIE DC,Delivery Area,-37.72465,144.850373,2.0,0.0,4.0
kensington,3031,VIC,MOONEE PONDS DC,Delivery Area,-37.794333,144.929217,9.0,0.0,20.0
kew,3101,VIC,DEEPDENE DC,Delivery Area,-37.797982,145.053727,3.0,1.0,6.0
kew east,3102,VIC,DEEPDENE DC,Delivery Area,-37.796246,145.049017,2.0,1.0,9.0
keysborough,3173,VIC,BRAESIDE DC,Delivery Area,-37.989707,145.14903700000005,0.0,0.0,14.0
kilsyth,3137,VIC,MOOROOLBARK DC,Delivery Area,-37.802304,145.312198,3.0,0.0,12.0
kilsyth south,3137,VIC,MOOROOLBARK DC,Delivery Area,-37.829539,145.302768,1.0,0.0,17.0
kingsbury,3083,VIC,BUNDOORA DC,Delivery Area,-37.714064,145.035103,2.0,0.0,16.0
kings park,3021,VIC,ST ALBANS DC,Delivery Area,-37.734277,144.780872,1.0,0.0,16.0
kingsville,3012,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.812635,144.881803,8.0,0.0,12.0
kooyong,3144,VIC,HAWTHORN DELIVERY CENTRE,Delivery Area,-37.840702,145.032101,3.0,0.0,10.0
knoxfield,3180,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.888895,145.24838300000005,1.0,0.0,10.0
lalor,3075,VIC,EPPING DC,Delivery Area,-37.665857,145.017194,4.0,0.0,17.0
langwarrin,3910,VIC,CRANBOURNE DC,Delivery Area,-38.153809,145.185851,3.0,0.0,17.0
langwarrin south,3911,VIC,BAXTER DELIVERY ANNEXE,Delivery Area,-38.198507,145.182526,0.0,0.0,0.0
laverton,3028,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.866939,144.761748,2.0,1.0,10.0
lilydale,3140,VIC,MOOROOLBARK DC,Delivery Area,-37.755519,145.347707,4.0,1.0,12.0
lower plenty,3093,VIC,BUNDOORA DC,Delivery Area,-37.730758,145.08811799999995,0.0,0.0,12.0
lynbrook,3975,VIC,CRANBOURNE DC,Delivery Area,-38.050457,145.257531,4.0,0.0,11.0
lyndhurst,3975,VIC,CRANBOURNE DC,Delivery Area,-38.053275,145.244343,0.0,0.0,5.0
lysterfield south,3156,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.927092,145.291015,0.0,0.0,3.0
macleod,3085,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.726038,145.068457,2.0,1.0,11.0
maidstone,3012,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.782096,144.874299,4.0,0.0,16.0
malvern,3144,VIC,HAWTHORN DELIVERY CENTRE,Delivery Area,-37.861427,145.02850800000004,7.0,1.0,12.0
malvern east,3145,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.87837,145.067892,4.0,0.0,14.0
maribyrnong,3032,VIC,MOONEE PONDS DC,Delivery Area,-37.772229,144.886116,2.0,0.0,13.0
mckinnon,3204,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.910967,145.037483,5.0,0.0,11.0
meadow heights,3048,VIC,SOMERTON DC,Delivery Area,-37.64986,144.922104,1.0,0.0,20.0
melbourne,3000,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.814563,144.97026699999995,20.0,4.0,20.0
melbourne,3004,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.837324,144.976335,9.0,0.0,20.0
mentone,3194,VIC,BRAESIDE DC,Delivery Area,-37.98285900000001,145.0649,3.0,0.0,14.0
middle park,3206,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.849721,144.965136,2.0,0.0,20.0
mill park,3082,VIC,EPPING DC,Delivery Area,-37.667957,145.060693,2.0,0.0,20.0
mitcham,3132,VIC,NUNAWADING DC,Delivery Area,-37.816878,145.193712,3.0,1.0,16.0
mont albert,3127,VIC,BOX HILL DC,Delivery Area,-37.821232,145.104996,3.0,0.0,11.0
mont albert north,3129,VIC,BOX HILL DC,Delivery Area,-37.807247,145.11205,4.0,0.0,12.0
montmorency,3094,VIC,BUNDOORA DC,Delivery Area,-37.715294,145.12158300000004,4.0,0.0,11.0
montrose,3765,VIC,MOOROOLBARK DC,Delivery Area,-37.805976,145.33951399999995,3.0,0.0,13.0
moonee ponds,3039,VIC,MOONEE PONDS DC,Delivery Area,-37.765707,144.919163,16.0,1.0,7.0
moorabbin,3189,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.934352,145.03673500000005,3.0,1.0,19.0
mooroolbark,3138,VIC,MOOROOLBARK DC,Delivery Area,-37.774337,145.329954,0.0,0.0,15.0
mordialloc,3195,VIC,BRAESIDE DC,Delivery Area,-38.007154,145.086849,3.0,1.0,20.0
mount dandenong,3767,VIC,MOOROOLBARK DC,Delivery Area,-37.835062,145.357831,0.0,0.0,12.0
mount evelyn,3796,VIC,MOOROOLBARK DC,Delivery Area,-37.792515,145.375605,1.0,1.0,7.0
mount waverley,3149,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.875273,145.128398,4.0,1.0,15.0
mulgrave,3170,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.869611,145.10286599999995,2.0,0.0,18.0
murrumbeena,3163,VIC,BENTLEIGH EAST DC,Delivery Area,-37.89069,145.067589,4.0,0.0,13.0
narre warren,3805,VIC,NARRE WARREN DC,Delivery Area,-38.026383,145.306933,4.0,1.0,15.0
narre warren north,3804,VIC,NARRE WARREN DC,Delivery Area,-37.981131,145.315271,0.0,0.0,6.0
narre warren south,3805,VIC,NARRE WARREN DC,Delivery Area,-38.050061,145.298191,1.0,0.0,6.0
newport,3015,VIC,NEWPORT DC,Delivery Area,-37.842477,144.88314499999996,5.0,0.0,16.0
niddrie,3042,VIC,NIDDRIE DC,Delivery Area,-37.736031,144.889072,6.0,0.0,11.0
noble park,3174,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.967254,145.176167,4.0,0.0,13.0
noble park north,3174,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.9547,145.192117,3.0,0.0,11.0
north melbourne,3051,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.905996,145.056254,2.0,0.0,12.0
north warrandyte,3113,VIC,MOOROOLBARK DC,Delivery Area,-37.731758,145.221282,2.0,0.0,10.0
northcote,3070,VIC,PRESTON DC,Delivery Area,-37.769857,144.995276,12.0,1.0,20.0
notting hill,3168,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.90159600000001,145.145776,1.0,0.0,5.0
nunawading,3131,VIC,NUNAWADING DC,Delivery Area,-37.820037,145.175726,4.0,1.0,12.0
oak park,3046,VIC,PRESTON DC,Delivery Area,-37.71817,144.919959,2.0,0.0,13.0
oakleigh,3166,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.899854,145.08711599999995,6.0,1.0,9.0
oakleigh east,3166,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.900071,145.105574,1.0,0.0,13.0
oakleigh south,3167,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.926986,145.0964,1.0,0.0,11.0
